,drama name,aired,ratings,no of ratings,synopsis,screenwriter,director,genre,country,episodes,type,original network,duration,ranking,popularity,content rating
36,Reply 1988 ,"Nov  6, 2015 - Jan 16, 2016",9,67869,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight. Sung Sun Woo is the perfect student, student council president and a caring and dependable son in his family. Ryu Dong Ryong is a geek who knows more about girls and life than the rest of his friends, but his poor academic score prevents him from being able to go to college. Choi Taek is a genius baduk player who dropped out of school to go professional. As the group of friends gets into and out of mischief around the neighborhood, what experiences from these memorable times together will they carry with them into their future lives? 

(Source: Viki)  English ภาษาไทย Arabic Русский","Lee Woo Jung, Kim Song Hee","Shin Won Ho, Yoo Hak Chan","Comedy, Romance, Life, Youth",South Korea,20,Drama,tvN,1 hr. 35 min.,#52,#38,15+ - Teens 15 or older
37,Lovely Runner ,"Apr  8, 2024 - May 28, 2024",9,93799,"In the glitzy realm of stardom, Ryu Seon Jae shines as a top-tier celebrity, captivating the spotlight since his debut. Despite the facade of a perfect life, the demanding nature of the entertainment industry has left him utterly exhausted. Im Sol, an ardent admirer, holds an affectionate love for Ryu Seon Jae. A childhood accident derailed her dreams, yet the solace found in Ryu Seon Jae's music on the radio transformed her into an unwavering fan.

The narrative takes a poignant turn when Im Sol, reeling from the breaking news of Ryu Seon Jae's tragic demise, experiences a miraculous twist of fate. Transported back 15 years into the past, she confronts Ryu Seon Jae in his 19-year-old high school self. Im Sol grapples with the formidable challenge of altering the trajectory of his future, driven by an unyielding determination to avert the impending tragedy.

(Source: MyDramaList)

~~ Adapted from the web novel “The Best of Tomorrow” (내일의 으뜸) by Kim Bbang (김빵).  English 한국어 中文(简体) ภาษาไทย",Lee Shi Eun,"Yoon Jong Ho, Kim Tae Yub","Music, Comedy, Romance, Fantasy",South Korea,16,Drama,tvN,1 hr. 10 min.,#68,#39,15+ - Teens 15 or older
38,Twenty Five Twenty One ,"Feb 12, 2022 - Apr  3, 2022",8.8,89879,"During the South Korean financial crisis, teen fencer Na Hee Do's high school team is disbanded, but she overcomes obstacles to join the national team. Meanwhile, Baek Yi Jin's life is turned upside down as his family's business goes bankrupt, forcing him to go from wealth to poverty. Despite his struggles, he works part-time and eventually becomes a sports reporter.

(Source: MyDramaList)  English 中文(简体) 中文(台灣) Arabic",Kwon Do Eun,"Jung Ji Hyun, Kim Seung Ho","Romance, Life, Drama, Melodrama",South Korea,16,Drama,tvN,1 hr. 15 min.,#176,#40,15+ - Teens 15 or older
39,My Demon ,"Nov 24, 2023 - Jan 20, 2024",8.3,92643,"Do Do Hee is the successor of the Future Group. She doesn’t trust in anyone and is cynical about love. Do Do Hee gets involved with a demon named Jung Gu Won and makes a contract marriage with him.

He can live for eternity by making dangerous, but sweet deals with humans who endure hellish lives. But after looking down upon humans for 200 years, he gets involved with Do Do Hee and somehow loses his power. To prevent his own extinction, he must protect Do Do Hee who has taken all of his power.

(Source: AsianWiki; edited by MyDramaList)  English ภาษาไทย Arabic עברית / עִבְרִית",Choi Ah Il,"Kim Jang Han, Kwon Da Som","Action, Comedy, Romance, Fantasy",South Korea,16,Drama,SBS,1 hr. 6 min.,#1167,#41,15+ - Teens 15 or older
40,Love Alarm ,"Aug 22, 2019",6.9,87186,"The app Love Alarm is created to notify users when someone within 10 meters likes them, without revealing who it is. Kim Jo Jo, a high school student who lost her parents at a young age, lives with her aunt's family, which makes her life difficult. She doesn't download the app because her phone is too old.

Hwang Sun Oh, a popular student from a wealthy but emotionally distant family, attends the same school as Kim Jo Jo. His best friend, Lee Hye Yeong, likes Kim Jo Jo, and Hwang Sun Oh kisses her to confirm his feelings.

(Source: MyDramaList)

~~ Adapted from the webtoon ""Johahamyeon Ullineun"" (좋아하면 울리는) by Chun Kye Young (천계영).  English 中文(台灣) Arabic Русский","Lee Ah Yeon, Seo Bo Ra, Kim Sae Bom",Lee Na Jung,"Comedy, Romance, Youth, Drama",South Korea,8,Drama,Netflix,50 min.,#11185,#42,13+ - Teens 13 or older
41,Sweet Home ,"Dec 18, 2020",8.7,91407,"Following the death of his family in an accident, loner Cha Hyun Soo moves to a new apartment. His quiet life is soon disturbed by strange incidents that start occurring in his apartment, and throughout Korea. As people start to turn into monsters, Hyun Soo and the other residents try to survive.

(Source: Wikipedia)

~~ Adapted from the webtoon “Sweet Home” (스위트홈) by Kim Carnby (김칸비) and Hwang Young Chan (황영찬).  English 한국어 中文(简体) 中文(台灣)","Kim Hyung Min, Park So Jeong","Lee Eung Bok, Jang Young Woo","Action, Horror, Drama, Sci-Fi",South Korea,10,Drama,Netflix,52 min.,#248,#43,18+ Restricted (violence & profanity)
42,King the Land ,"Jun 17, 2023 - Aug  6, 2023",8.3,92660,"Heir Goo Won, known for his brilliance and charm, despises fake smiles but is captivated by Cheon Sa Rang’s genuine one. As they bond over their shared desire for true happiness, Goo Won is thrown into an inheritance battle at King of the Land, an exclusive lounge owned by The King Group.

Cheon Sa Rang, with her radiant smile, lands a job at King Hotel, a place full of childhood memories. However, she must set those memories aside and quickly adapt to the challenges and prejudices she faces at work.

(Source: MyDramaList)  English ภาษาไทย Arabic עברית / עִבְרִית",Choi Rom,"Im Hyun Wook, Choi Sun Min","Comedy, Romance",South Korea,16,Drama,jTBC,1 hr. 11 min.,#1282,#44,15+ - Teens 15 or older
43,Hospital Playlist ,"Mar 12, 2020 - May 28, 2020",9,65787,"The stories of people going through their days are seemingly ordinary but actually special at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets its ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.

(Source: Korean = Naver || Translation = YeoNiverse at MyDramaList)  English 中文(简体) 中文(台灣) ภาษาไทย","Lee Woo Jung, Kim Song Hee",Shin Won Ho,"Comedy, Life, Drama, Medical",South Korea,12,Drama,tvN,1 hr. 30 min.,#57,#45,15+ - Teens 15 or older
44,Doom at Your Service ,"May 10, 2021 - Jun 29, 2021",8.4,81116,"Tak Dong Gyeong has been working hard ever since her parents passed away. Her life seemed more stable after working as a web novel editor for 6 years, but then she gets diagnosed with glioblastoma (brain cancer). She blames her unlucky life and wishes to curse everything to disappear, which unintentionally calls Myeol Mang, Doom himself - neither human nor god - to appear. 

Myeol Mang says that he can grant Dong Gyeong's wishes. As her last hope, she makes a contract with Myeol Mang for a hundred days to live how she wants, risking her everything.

(Source: CJ ENM; edited by unninette at MyDramaList)  English 한국어 中文(简体) 日本語",Im Me A Ri,Kwon Young Il,"Comedy, Romance, Drama, Fantasy",South Korea,16,Drama,tvN,1 hr. 5 min.,#682,#47,15+ - Teens 15 or older
45,The K2 ,"Sep 23, 2016 - Nov 12, 2016",8.2,73003,"Kim Je Ha, a former mercenary known as “K2,” becomes a fugitive after being wrongfully accused of killing his girlfriend in Iraq. He returns to Korea and works as a bodyguard for Choi Yoo Jin, the wife of presidential candidate Jang Se Joon. Je Ha plans revenge on Park Kwan Soo, Se Joon's rival, whom he believes ordered his girlfriend's murder.

While guarding Go An Na, Se Joon's reclusive daughter, Je Ha and An Na grow close. However, Je Ha's loyalty is tested when he learns that Yoo Jin, his boss and ally in revenge, is the one threatening An Na.

(Source: MyDramaList)  English Arabic Русский Polski",Jang Hyuk Rin,Kwak Jung Hwan,"Action, Thriller, Psychological, Romance",South Korea,16,Drama,tvN,60 min.,#1570,#48,15+ - Teens 15 or older
46,Because This Is My First Life ,"Oct  9, 2017 - Nov 28, 2017",8.4,83006,"A house-poor man and homeless woman become housemates in a drama that examines the institution of marriage and the problems that young people face today.

Nam Se Hui is a single man in his late 30s. He has chosen not to marry. He owns his home, but he owes a lot on his mortgage. Meanwhile, Yun Ji Ho is a single woman in her early 30s. She does not own a home and envies those that do. She has given up on dating due to her financial struggles. Yun Ji Ho begins to live at Nam Se Hui’s house. They become housemates.

(Source: KoreanDrama.org)  English 한국어 Arabic Русский",Yoon Nan Joong,"Park Joon Hwa, Nam Sung Woo","Comedy, Romance, Life, Drama",South Korea,16,Drama,tvN,1 hr. 10 min.,#874,#49,15+ - Teens 15 or older
47,My Name ,"Oct 15, 2021",8.7,91763,"After her father's murder, Yoon Ji Woo seeks revenge by infiltrating the police under the direction of Choi Moo Jin, the head of a powerful drug ring. As she goes undercover, she partners with rule-abiding detective Jeon Pil Do, while Cha Gi Ho, the head of the Drug Investigation Unit, targets Choi Moo Jin. Meanwhile, Choi Moo Jin’s loyal subordinate, Jung Tae Joo, and former gang member Do Gang Jae, who seeks revenge, add to the complex web of crime and betrayal.

(Source: MyDramaList)  English 한국어 中文(台灣) 中文(简体)",Kim Ba Da,Kim Jin Min,"Action, Thriller, Mystery, Crime",South Korea,8,Drama,Netflix,50 min.,#295,#50,18+ Restricted (violence & profanity)
48,All of Us Are Dead ,"Jan 28, 2022",8.6,99186,"A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.

(Source: Netflix)

~~ Adapted from the webtoon ""All of Us Are Dead"" (지금 우리 학교는) by Joo Dong Geun (주동근).  English 한국어 日本語 中文(台灣)",Chun Sung Il,Lee Jae Gyoo,"Action, Thriller, Horror, Sci-Fi",South Korea,12,Drama,Netflix,1 hr. 2 min.,#389,#51,18+ Restricted (violence & profanity)
49,Hidden Love ,"Jun 20, 2023 - Jul  6, 2023",9,82980,"Sang Zhi falls in love with Duan Jia Xu, the boy who often comes to her house to play games in her older brother's room. He is five years older than her. Sang Zhi had a crush on Duan Jia Xu when she was young, but they lost contact with each other for some reason. After she graduates, she joins the university in the city he is in, and during their day-to-day intimate and close interaction, they slowly fall in love. 

(Source: Chinese Drama Land YouTube)

~~ Adapted from the web novel ""Secretly, Secretly; But Unable to Hide It"" (偷偷藏不住) by Zhu Yi (竹已).  English 한국어 中文(简体) ภาษาไทย",Ou Si Jia,Gia Lee,"Comedy, Romance, Life, Youth",China,25,Drama,Youku,45 min.,#62,#52,13+ - Teens 13 or older
50,Queen of Tears ,"Mar  9, 2024 - Apr 28, 2024",8.7,85962,"Baek Hyeon U, who is the pride of the village of Yongduri, is the legal director of the conglomerate Queens Group, while chaebol heiress Hong Hae In is the “queen” of Queens Group’s department stores.

It tells the miraculous, thrilling, and humorous love story of this married couple, who manage to survive a crisis and stay together against all odds.

(Source: Soompi)  English 한국어 ภาษาไทย Arabic",Park Ji Eun,"Kim Hee Won, Jang Young Woo","Comedy, Romance, Life, Drama",South Korea,16,Drama,tvN,1 hr. 28 min.,#253,#53,15+ - Teens 15 or older
51,Tale of the Nine-Tailed ,"Oct  7, 2020 - Dec  3, 2020",8.4,69433,"The mythical nine-tailed fox, or gumiho, Lee Yeon had to settle in the city many centuries ago. Able to transform into human form, he eradicates supernatural beings that threaten the mortal world. His real aim is to find the reincarnation of his lost first love.

The talented television producer Nam Ji A works on a show that features urban myths. In the past, her parents were involved in a mysterious car accident and disappeared, and she suspects that Lee Yeon might be connected with this accident.

The half-brother to Lee Yeon is the captivating Lee Rang. Despite being half-human himself, he harbors a deep-seated contempt for all people. For sport, he will unleash his seductive prowess upon his human-du-jour by promising to grant them their wishes, only to trick them into paying a hefty price for their earthly desires.

(Source: Lee Cox at MyDramaList)  English 中文(台灣) Arabic Русский",Han Woo Ri,"Kang Shin Hyo, Jo Nam Hyung","Thriller, Horror, Romance, Fantasy",South Korea,16,Drama,tvN,1 hr. 10 min.,#860,#54,15+ - Teens 15 or older
